Index,trx,ns,nh,nd,nc,ss,sh,sd,sc,es,eh,ed,ec,ws,wh,wd,wc
61,10,AT54,954,AT2,K52,K962,AJT,J93,A83,873,KQ762,KQ6,97,QJ,83,8754,QJT64
62,8,4,8642,AJ85,AJ62,K987532,QJT3,K,K,T,A7,QT76432,Q95,AQJ6,K95,9,T8743
63,10,984,A532,K973,J3,KJ3,QJ97,A,AKT42,A6,KT6,QJT82,975,QT752,84,654,Q86
64,9,QJ4,9876,AK864,A,AK3,Q2,QT9,Q9875,T97652,AK3,J,KJ6,8,JT54,7532,T432
65,7,Q52,752,KJ6,T984,AK8,KQJT4,94,AJ2,JT763,86,T2,KQ76,94,A93,AQ8753,53
66,11,K,AK8542,A953,KT,QJT4,93,KQT,AJ53,9652,T7,J74,Q876,A873,QJ6,862,942
67,7,8,KQ543,A83,AK93,K9632,8,JT62,Q85,A754,AJ7,K9754,7,QJT,T962,Q,JT642
68,10,Q7,93,AKJT7,AJ54,AT954,AQT752,9,K,J62,K8,8652,QT76,K83,J64,Q43,9832
69,6,QT853,T83,A2,KT2,AKJ9,975,98,J975,2,Q62,QT63,A8643,764,AKJ4,KJ754,Q
70,3,KJ864,K942,Q43,J,AQT972,AJ8,9,643,-,Q765,KT765,AT95,53,T3,AJ82,KQ872
71,3,QT92,K52,82,AT98,85,874,KJ75,Q743,K64,T963,AT6,652,AJ73,AQJ,Q943,KJ
72,10,K9642,AJ74,K87,J,J3,965,A52,AKQ95,AQT8,QT,J94,8732,75,K832,QT63,T64
73,7,AT8653,J6,AJ8,J9,K2,T52,K43,AK865,J7,AQ984,Q72,T72,Q94,K73,T965,Q43
74,4,T432,QJT8,9,K943,Q985,-,AJ6543,Q62,AJ7,K97652,T2,A7,K6,A43,KQ87,JT85
75,7,KT6,A6543,J3,AT6,AJ9542,J7,8,KQJ2,Q7,KQ982,AT94,43,83,T,KQ7652,9875
76,12,AQ9,AJ63,A98,A83,KJT6,QT9872,Q2,4,7432,K54,J3,QT97,85,-,KT7654,KJ652
77,9,KJ74,752,872,KJT,A,KQJT6,QJ63,AQ7,QT32,93,AK95,542,9865,A84,T4,9863
78,6,6,AKT93,K943,754,K93,8642,Q2,AJ83,AJT2,Q7,T8765,KT,Q8754,J5,AJ,Q962
79,3,Q532,872,86,A753,T9,9643,AK532,QT,KJ87,AT5,4,J9842,A64,KQJ,QJT97,K6
80,7,A873,AQT,AQJ,AJT,96,J843,T87,9742,KJT54,K76,K3,K63,Q2,952,96542,Q85
81,3,KT72,742,A764,97,Q65,T95,KT3,J654,4,AK83,QJ8,AKT32,AJ983,QJ6,952,Q8
82,9,AKJT63,43,632,K5,97,AKQ86,JT4,A73,Q52,J9,AK98,QT82,84,T752,Q75,J964
83,8,76,AQT7,K732,T96,QJ93,K98,Q4,AK84,AT842,542,986,Q2,K5,J63,AJT5,J753
84,5,AQT8,K82,KQ65,QJ,95,Q94,T73,T9765,763,6,A9842,A842,KJ42,AJT753,J,K3
85,2,JT842,Q,8765,K32,7,K84,QJ4,J97654,9,AT76,KT93,AQT8,AKQ653,J9532,A2,-
86,6,AT8732,KT84,3,86,Q64,AQ952,J54,K3,J,J763,AKT862,92,K95,-,Q97,AQJT754
87,4,KJ,Q854,QJ95,732,852,A6,K642,T954,Q9764,32,T873,Q6,AT3,KJT97,A,AKJ8
88,7,A85,T2,A7632,JT9,32,K,Q54,AK65432,KJ976,A98543,98,-,QT4,QJ76,KJT,Q87
89,5,KQT95,Q5,AQ95,72,6,98764,K762,KT3,A872,AJ,J843,AQ5,J43,KT32,T,J9864
90,5,K765,JT,J62,9862,AQ84,K9762,Q5,53,JT9,-,AK9874,AQJT,32,AQ8543,T3,K74
91,4,KJ982,AT,AKQ6,97,6543,Q5,542,8543,AT,97432,93,KQ62,Q7,KJ86,JT87,AJT
92,5,J9865,7,KQJT72,9,43,JT54,A86,KQ64,AK72,KQ,953,T852,QT,A98632,4,AJ73
93,3,Q43,J75,42,J9863,KJ8,T3,KT85,AK42,A5,AK9842,Q6,QT5,T9762,Q6,AJ973,7
94,6,J5,KJT932,KT6,K6,Q4,A5,QJ82,QJ973,K962,84,93,AT852,AT873,Q76,A754,4
95,4,83,KT83,Q6532,Q9,AT642,762,4,K764,QJ95,AQ5,-,AJT852,K7,J94,AKJT987,3
96,8,AJ92,KQ2,AJT85,3,874,A9854,2,Q982,QT53,J73,KQ3,A64,K6,T6,9764,KJT75
97,8,KQ4,AQJ,8732,643,AJ6,T943,J654,KT,T852,K86,AKQ,952,973,752,T9,AQJ87
98,3,Q8743,65,QJ,Q943,AT5,KQ94,5,AT652,KJ6,AJ83,K94,KJ8,92,T72,AT87632,7
99,3,4,KQ62,9652,AK82,T73,T84,QJ873,T6,J2,A9753,AKT,943,AKQ9865,J,4,QJ75
100,8,J43,962,AQ74,Q63,AQ9872,AT75,K,J4,5,KQJ843,J,AT952,KT6,-,T986532,K87
101,5,K74,82,T92,AJ942,8652,AQ97,AQ4,53,QJ,KJT54,85,QT86,AT93,63,KJ763,K7
102,5,A732,K954,T76,85,KJ986,Q73,Q2,AJ2,QT5,T6,A93,T7643,4,AJ82,KJ854,KQ9
103,1,AJ,J95,JT754,T62,T97652,4,98,J843,Q3,KT63,632,AK75,K84,AQ872,AKQ,Q9
104,3,9752,J3,QJ86,K53,6,T96542,3,AQ876,KQ3,AQ7,AT7542,T,AJT84,K8,K9,J942
105,5,QJT9,AJ2,Q7,KJ65,53,T97,T2,AQT732,AK864,653,AJ5,98,72,KQ84,K98643,4
106,3,KQT,982,QJ97,953,J85,KQJ543,53,AQ,93,AT6,642,KT876,A7642,7,AKT8,J42
107,9,KQ43,J74,T,J9432,982,KQ52,AKJ3,K6,AT7,A63,742,AQT5,J65,T98,Q9865,87
108,7,96,QT52,AQ963,K7,K5432,AK8,K87,J2,Q7,J97,T542,T964,AJT8,643,J,AQ853
109,5,KT87,Q75,T9764,2,53,AK83,Q8,QJ854,QJ94,J,AKJ32,K63,A62,T9642,5,AT97
110,10,AK83,AQ6,J95,Q83,JT92,T75,AQ432,7,654,J43,T87,AK54,Q7,K982,K6,JT962
111,6,K74,85,A973,Q543,AQJ9,AT,J642,JT6,T53,Q9432,85,A92,862,KJ76,KQT,K87
112,8,K74,6,QT83,AJ742,A98,QJ952,KJ9,Q6,QJ5,AK,A75,KT985,T632,T8743,642,3
113,7,7,AQJ87,Q5,KQ872,K64,T53,T8762,AJ,A52,K,AK3,T96543,QJT983,9642,J94,-
114,5,A653,KT87,Q8,J43,987,62,3,AQT9852,KQJT4,J9,KT9642,-,2,AQ543,AJ75,K76
115,8,JT,T864,KJ7,Q983,AQ97,73,A832,AKJ,K8432,KQ52,T4,75,65,AJ9,Q965,T642
116,8,A43,AJT64,3,AQ32,KQ92,Q752,KQ,754,J65,9,AT864,JT86,T87,K83,J9752,K9
117,8,AKQ832,KQ54,T,63,54,A7,AKJ7543,84,76,J9632,92,A972,JT9,T8,Q86,KQJT5
118,1,K3,Q98,J832,QJ95,JT98542,7,Q64,T8,AQ76,AT65,AT75,A,-,KJ432,K9,K76432
119,8,73,AT94,AT732,95,96,KQJ,KQ4,AJ872,KQ842,8763,J,QT6,AJT5,52,9865,K43
120,3,J876,KT2,52,J984,K5,8653,QJ8,AT65,AQT9,QJ7,K94,KQ2,432,A94,AT763,73
121,10,KQ84,AT9,A72,KT9,AJ97,2,QJ843,A52,2,J54,KT96,QJ864,T653,KQ8763,5,73
122,7,AKQ8543,Q,AJ3,J6,T972,T3,764,AQ54,J,KJ65,QT95,T987,6,A98742,K82,K32
123,2,AT652,5,K8,QT953,K873,K86,2,AK762,4,A974,QJT963,J4,QJ9,QJT32,A754,8
124,1,KQT954,T64,98,76,J8763,K98,4,KJ92,2,J7532,AJ75,Q43,A,AQ,KQT632,AT85
125,7,QT,T9654,QT982,K,K75,-,AJ73,QJT864,J84,QJ82,4,A9753,A9632,AK73,K65,2
126,6,A763,Q943,9,K653,85,AK,K8653,QT87,KJT4,JT2,AJ7,A42,Q92,8765,QT42,J9
127,12,87,52,AKQ532,AT6,AKQ,AQ4,J64,J982,6543,JT97,T97,Q7,JT92,K863,8,K543
128,7,AKJT32,A52,8,T83,4,943,QJ974,K962,9876,Q876,AK6,75,Q5,KJT,T532,AQJ4
129,7,K3,965,KQ432,AQT,T9754,AKT3,9,653,J6,Q872,A875,KJ4,AQ82,J4,JT6,9872
130,4,JT54,JT84,J8,A65,A732,A73,54,9874,Q,Q9652,T96,KQJ3,K986,K,AKQ732,T2
131,6,QJ85,QJ,AJ542,A7,K432,832,T987,K2,A76,A7654,6,Q654,T9,KT9,KQ3,JT983
132,7,AK8,QJ8743,95,65,QT75,K5,KT6,KQJT,J942,T9,A8743,92,63,A62,QJ2,A8743
133,5,76,AT95,654,A853,KQT85,QJ2,Q8,J97,J92,863,AT93,KQT,A43,K74,KJ72,642
134,7,J973,82,K76,J754,8,AKT95,AQ842,T6,AQT42,Q4,T93,Q98,K65,J763,J5,AK32
135,12,7,AQ4,AK53,AKT42,AKT,K73,Q42,8765,J8432,8652,J76,Q,Q965,JT9,T98,J93
136,6,AJ5,AK,AKT7,9643,7,9842,J852,KT85,8642,65,Q94,AQJ2,KQT93,QJT73,63,7
137,6,874,853,AK42,KJ6,Q5,AJ76,J87,QT94,32,KQT42,963,732,AKJT96,9,QT5,A85
138,7,AJT4,AQ,A7,KJT76,KQ5,8654,85,Q942,963,KJ,KJ9642,83,872,T9732,QT3,A5
139,5,AJ962,9,QJ63,974,Q,AKJT832,T8,T86,K853,Q4,AK9542,Q,T74,765,7,AKJ532
140,7,T63,J72,KJ5,AKJT,A984,84,T64,Q652,J,KT9653,Q2,9873,KQ752,AQ,A9873,4
141,11,AJT532,KQ,AT92,9,KQ974,-,J5,AKJ832,6,AT6532,K873,75,8,J9874,Q64,QT64
142,3,AT875,K5,A76,876,Q9,J763,Q953,K93,J642,T,J82,AJT54,K3,AQ9842,KT4,Q2
143,4,QJ2,AKT862,8,QJ8,98763,J4,JT2,KT4,T5,97,AK97,A9762,AK4,Q53,Q6543,53
144,9,8653,A42,AKT93,3,AQJ,65,QJ76,8754,T4,KJT97,42,KQ96,K972,Q83,85,AJT2
145,11,AT8,QJ8,AKQ54,T7,Q974,943,-,AKQ963,6,KT7652,JT8,852,KJ532,A,97632,J4
146,4,6,J962,Q862,KT82,983,Q5,AJ943,764,AKJ72,AK3,T,J953,QT54,T874,K75,AQ
147,7,JT54,KQT2,4,K983,Q86,965,AKQ632,5,AK92,A843,9,AJT6,73,J7,JT875,Q742
148,5,K82,AK2,T76542,2,T93,74,K83,AK874,AQJ76,J965,AJ9,5,54,QT83,Q,QJT963
149,5,AKJT93,Q,632,Q82,7542,65,AKT7,J96,Q6,K843,J84,AT54,8,AJT972,Q95,K73
150,8,KQT43,92,6543,82,97,AQT63,AKJ,KJ7,A852,KJ875,-,T653,J6,4,QT9872,AQ94
151,4,74,A653,Q52,T763,A8,J9,K974,KJ854,QJT932,KQT,J863,-,K65,8742,AT,AQ92
152,11,85,AQ8752,A,Q963,AK93,94,KQ94,KJ8,JT42,KJT,JT873,T,Q76,63,652,A7542
153,5,Q7,Q543,JT7,KJ76,AT53,T982,AQ,432,KJ8,KJ6,K8632,T9,9642,A7,954,AQ85
154,5,A63,J532,AJT4,K6,J9,Q87,976,JT942,K542,964,K853,A7,QT87,AKT,Q2,Q853
155,11,AT,AK9532,AQ,AK9,J762,T874,JT4,63,K3,J6,98752,QT85,Q9854,Q,K63,J742
156,6,K652,9,764,KT964,4,QJT872,AQJ2,QJ,AJT3,AK,KT9,A832,Q987,6543,853,75
157,6,AKQJ832,J6,Q,AT9,974,KQT2,65,KJ43,T,953,AJT983,Q52,65,A874,K742,876
158,2,KJ6,T84,K7542,75,Q9743,A65,9,J983,52,J97,JT63,AKT4,AT8,KQ32,AQ8,Q62
159,8,J864,J8,764,AJT5,KQ72,AKQ6,K983,9,A93,542,AT2,K874,T5,T973,QJ5,Q632
160,5,QJ,AT4,874,T9763,AT942,863,2,AJ84,87,QJ5,AKQJT3,KQ,K653,K972,965,52
161,13,9,J942,K2,KJT642,AK,AKQ,AQ984,AQ3,QT754,T53,763,75,J8632,876,JT5,98
162,7,Q5,AJ,AJ743,KT97,K987632,Q642,K,J,AT4,98,QT965,832,J,KT753,82,AQ654
163,10,T4,AT754,AK85,A3,AKQ986,93,J3,Q82,J3,KQ82,4,KT9754,752,J6,QT9762,J6
164,4,AK83,54,J7,AKQ82,J,K872,T9,JT9764,T4,AQ9,KQ6542,53,Q97652,JT63,A83,-
165,9,Q9,K964,AQ8,T642,KJ64,Q7,J765,AK3,A532,AJ85,K32,J7,T87,T32,T94,Q985
166,7,A3,2,Q9732,T9875,KT7654,A,K86,AQ6,Q8,QJT985,JT54,2,J92,K7643,A,KJ43
167,8,A54,AK,Q3,AK8632,93,J9753,972,T75,KQ2,T86,KJ864,J4,JT876,Q42,AT5,Q9
168,9,T97,J9872,K7,A52,AK82,Q53,QJ83,Q7,Q6,AK64,A654,KJ3,J543,T,T92,T9864
169,10,832,KJ83,AK7,K85,QT7,AT52,QT9,AQ3,AJ4,9764,843,T74,K965,Q,J652,J962
170,8,JT7,A73,KJ2,AKQ4,85,KJ962,764,JT2,AQ94,54,Q53,9853,K632,QT8,AT98,76
171,7,Q4,QJ85,KJ964,QT,J862,AKT,32,J984,A73,74,AQ75,AK62,KT95,9632,T8,753
172,6,32,KQ42,KQ932,K9,K74,J953,64,AT52,JT6,AT87,AT85,87,AQ985,6,J7,QJ643
173,4,A98,AK2,842,Q932,52,J97,JT9,AT865,QJ43,T863,K3,K74,KT76,Q54,AQ765,J
174,9,KQ83,K3,QJ4,JT97,J5,J98,AT82,AK43,AT972,AQ62,7,865,64,T754,K9653,Q2
175,6,J,KQ87642,AT64,2,5,AJ5,J82,AJ9876,AT32,-,K953,KQT53,KQ98764,T93,Q7,4
176,3,J763,98754,5,K96,K852,J,AJ3,75432,AT9,63,7642,AQJ8,Q4,AKQT2,KQT98,T
177,7,K72,K2,KQ864,AT2,5,AQJT64,T92,K76,JT83,98753,5,983,AQ964,-,AJ73,QJ54
178,6,AQ64,764,K986,T4,5,KQJ53,JT43,K73,97,T2,AQ752,Q862,KJT832,A98,-,AJ95
179,10,JT87,Q5,AT4,AK82,AQ2,K4,Q76,J9764,3,AT983,K983,QT3,K9654,J762,J52,5
180,3,T832,T9862,-,A875,964,KJ,KJ8762,J2,AQJ,A,AT3,KQT643,K75,Q7543,Q954,9
181,6,42,J987,754,AQ74,KQT873,A64,J2,32,A96,T532,Q86,KT5,J5,KQ,AKT93,J986
182,9,K842,AK4,A64,AK8,QT53,QT9852,8,93,76,76,JT93,JT542,AJ9,J3,KQ752,Q76
183,4,QT932,Q9853,J7,6,A,J,KQT986,KT742,8654,T2,A43,AQ83,KJ7,AK764,52,J95
184,9,J6,AK64,A,KQT864,AKQT87,85,T875,J,932,973,KJ9632,7,54,QJT2,Q4,A9532
185,4,A,K953,T986,9654,Q98642,Q86,J,AJ3,KJT3,AJT,Q73,Q87,75,742,AK542,KT2
186,10,K973,K65,A9,AJ72,AQT,A984,J875,T3,842,Q732,T63,654,J65,JT,KQ42,KQ98
187,5,972,K95,QT53,K82,A65,JT32,876,A96,KT4,AQ76,A92,J73,QJ83,84,KJ4,QT54
188,6,QJ9764,-,KQJ543,3,3,AQ972,T7,QT987,K8,J43,982,A6542,AT52,KT865,A6,KJ
189,8,K8,AQJ753,A4,KT7,QT754,964,K76,J5,A92,T2,T9532,A94,J63,K8,QJ8,Q8632
190,6,QJT,QT9743,A6,J4,AK74,J65,K2,K976,98653,82,J9,A832,2,AK,QT87543,QT5
191,6,A983,T3,K9,AJT96,KQT,97,J7532,K54,J74,AJ8,A86,Q732,652,KQ6542,QT4,8
192,8,AK962,42,QJ52,A2,Q754,KJ7,A43,J64,3,AQ653,876,K975,JT8,T98,KT9,QT83
193,3,Q8743,65,QJ,Q943,AT5,KQ94,5,AT652,KJ6,AJ83,K94,KJ8,92,T72,AT87632,7
194,3,AJ63,JT83,Q,JT85,K942,9765,K43,32,75,Q,A9752,Q9764,QT8,AK42,JT86,AK
195,1,JT976,T43,Q,Q432,Q3,KQ9872,95,JT7,542,J6,AJT863,85,AK8,A5,K742,AK96
196,11,6,KT62,KJT9,AJT5,KQJ7,A9743,-,K987,AT852,J,Q8764,Q3,943,Q85,A532,642
197,1,97643,9642,K54,4,AK52,K7,T93,9753,8,AQJT5,J872,A86,QJT,83,AQ6,KQJT2
198,8,T87,KQ95,K83,AJ4,K653,AT86,A9,T98,AQ42,J74,74,KQ65,J9,32,QJT652,732
199,9,KJT843,Q,K5,QJT9,AQ972,K92,A96,K8,5,T8543,87,A7542,6,AJ76,QJT432,63
200,5,T873,T64,AT6,543,K2,A953,KQ5,K987,AQJ654,KQ8,-,QJT6,9,J72,J987432,A2
201,3,JT84,KJ74,A765,3,Q92,Q65,Q3,J9874,K5,AT32,KT9,AKT6,A763,98,J842,Q52
202,8,KQJ98,Q983,T7,K8,54,AJ,Q9653,AJ32,T632,K72,KJ82,74,A7,T654,A4,QT965
203,1,A9765,7,Q9654,97,KQ43,J,JT83,J643,J2,QT9643,K2,A82,T8,AK852,A7,KQT5
204,5,-,K8743,87654,864,AK9752,A9,32,AQ3,Q6,Q52,AQ9,KJ975,JT843,JT6,KJT,T2
205,7,AT,T752,A,AK6543,64,AJ943,QJ7,T87,KQ9875,Q86,8,QJ9,J32,K,KT965432,2
206,4,AT,98753,T98,Q97,Q74,KQ4,632,A853,J52,AJT6,AQ75,KT,K9863,2,KJ4,J642
207,3,986,J63,94,QJ986,J42,QT7,AJT872,T,AT5,8542,Q5,7542,KQ73,AK9,K63,AK3
208,3,QT9,K852,J,AQ986,73,T7,KQ87632,32,KJ85,AJ,A954,T54,A642,Q9643,T,KJ7
209,6,JT3,A2,T875,AQT7,Q8762,KQ,943,K94,4,J8643,KQJ2,J52,AK95,T975,A6,863
210,0,Q8732,J,T,AKQT82,A54,863,Q96,9653,KJ6,K7,AJ5432,74,T9,AQT9542,K87,J
211,9,Q82,AQ2,T8,A7632,K74,K95,A965,KT5,J653,T63,J43,QJ4,AT9,J874,KQ72,98
212,5,QT87652,K52,AJ2,-,9,A7,Q65,KJ98652,AJ43,JT9,T83,T43,K,Q8643,K974,AQ7
213,7,KQT7,KT82,J5,853,AJ43,Q,QT986,QT2,85,J653,AK32,AK6,962,A974,74,J974
214,4,AJ2,87,K74,T9853,KQT94,T54,T83,J6,83,KQ92,QJ62,AQ4,765,AJ63,A95,K72
215,5,A3,A953,J8543,32,K4,J842,K97,Q876,QJ86,KQ6,QT62,A9,T9752,T7,A,KJT54
216,2,AJ432,T874,JT,65,QT75,KQ32,73,T42,-,J65,KQ9642,KQ98,K986,A9,A85,AJ73
217,7,98765,AQ,T9,AQ97,J32,K86,QJ83,K53,AKT4,T942,K752,2,Q,J753,A64,JT864
218,10,AT876,2,964,K832,QJ,QJ3,AQJ3,AQ96,K532,AKT9,K2,T74,94,87654,T875,J5
219,8,52,QJT,A986,KQ74,KQ64,A75,Q54,JT6,AJT97,83,KJT2,82,83,K9642,73,A953
220,7,9,T3,K98,AKT6542,KT8753,K,AQ76,98,Q42,AJ754,3,QJ73,AJ6,Q9862,JT542,-
221,9,AJT63,53,QJ5,Q74,K7,AKJ2,832,KJ95,Q984,9874,A97,T6,52,QT6,KT64,A832
222,2,K,KJ754,J874,JT4,753,Q86,AK953,82,AQT42,T92,-,AKQ63,J986,A3,QT62,975
223,7,J,Q76,KJT983,Q95,KT753,53,AQ,AT43,842,KJ82,652,KJ2,AQ96,AT94,74,876
224,8,A95,AKQJ8,Q5,975,QJ8,T6,KT987,T32,K743,42,642,AKQ6,T62,9753,AJ3,J84
225,4,K8,A976,T52,KJ62,763,853,KQ43,983,AJ9542,J4,J76,Q5,QT,KQT2,A98,AT74
226,10,AT75,T975,84,Q92,K4,AKQ6,AKT7,K84,J93,J4,QJ9653,J5,Q862,832,2,AT763
227,12,KT76,A82,A,AKJ94,QJ954,KQT,KQ8,85,3,743,J965,QT732,A82,J965,T7432,6
228,7,KQT942,J,K,QT873,3,AK9752,Q853,AJ,J86,Q83,AJT74,K9,A75,T64,962,6542
