Index,trx,ns,nh,nd,nc,ss,sh,sd,sc,es,eh,ed,ec,ws,wh,wd,wc
15,2,JT9763,T96,K7,Q4,82,AQ852,J95,632,54,KJ43,AQ2,AT87,AKQ,7,T8643,KJ95
16,1,862,873,93,K6432,Q5,KQJ2,QJ2,J987,A97,A94,AK8654,A,KJT43,T65,T7,QT5
17,4,Q963,AK7,AK,9732,T874,42,Q9653,Q8,52,QJ6,J84,AKJ64,AKJ,T9853,T72,T5
18,7,J,K963,AQ962,K42,K82,875,J4,AQ986,AQ976543,T2,T8,3,T,AQJ4,K753,JT75
19,2,AJT9,JT73,T83,95,853,K9652,42,JT2,K7,AQ8,AQ75,K843,Q642,4,KJ96,AQ76
20,7,AJ,AKQ96,K932,T6,KT874,J52,AT4,72,652,T87,J875,QJ9,Q93,43,Q6,AK8543
21,5,AKQJ54,AQ,KJ3,J7,863,K92,98742,98,T92,J83,65,KT652,7,T7654,AQT,AQ43
22,6,954,K654,865,864,K73,AQT83,732,AQ,T862,J7,AQJ4,K95,AQJ,92,KT9,JT732
23,2,J9,T97532,T4,762,QT4,Q64,962,AJT5,A72,AKJ,AQ87,K83,K8653,8,KJ53,Q94
24,6,9543,QT95,Q85,AT,AQT876,K832,A6,2,KJ,6,KJ2,KQJ9843,2,AJ74,T9743,765
25,8,AKT84,KQJT,53,43,Q6532,A97,AK8,76,J,653,Q964,AK985,97,842,JT72,QJT2
26,10,T83,Q875,852,AQ5,KQ96,K9,AQT,KJT9,J754,A64,643,843,A2,JT32,KJ97,762
27,8,-,AK765,KJT9654,8,AJT8642,2,A2,Q93,K53,QJ8,Q73,K642,Q97,T943,8,AJT75
28,5,K7,KT4,T5,AQJ863,65,A3,K943,T9742,J92,98762,A86,K5,AQT843,QJ5,QJ72,-
29,10,9,AKT43,AJ963,96,AKQ,J9,T852,KQ43,J875432,Q5,4,J75,T6,8762,KQ7,AT82
30,11,AKJ9742,AT,T,A75,T,J98,AK9754,T98,Q6,Q4,J82,KQJ642,853,K76532,Q63,3
31,7,963,JT,KJ,AKQT85,J,AQ7632,Q532,63,AT854,95,AT764,4,KQ72,K84,98,J972
32,5,A6,K43,QJ863,952,83,QJT975,T7,A84,QT9754,862,52,QJ,KJ2,A,AK94,KT763
33,5,AJ7,J3,QT872,T74,KT982,T874,AK6,K,653,52,9543,A863,Q4,AKQ96,J,QJ952
34,0,K864,96,KQ832,T6,T532,7,AJ974,832,J97,AKQ3,-,AKQJ74,AQ,JT8542,T65,95
35,7,KJ4,K632,K9,A953,93,AQ87,J8642,KT,A7,JT95,AT75,J72,QT8652,4,Q3,Q864
36,5,9863,Q2,KQT95,J3,Q,KJT4,J3,A87642,AJ72,973,8764,QT,KT54,A865,A2,K95
37,8,AT86,AK8,A765,Q3,KQ3,Q7542,Q9,842,J754,T93,KJ4,A65,92,J6,T832,KJT97
38,2,T,863,JT8742,Q76,J76,JT52,KQ6,A52,AK9543,AK9,3,K93,Q82,Q74,A95,JT84
39,10,KJ4,Q3,AK,KJ7432,8762,KJ75,JT4,A9,AQ5,AT8,9863,T85,T93,9642,Q752,Q6
40,8,63,QT8763,53,AK4,AT974,K95,KQ6,65,85,4,AJT8,JT8732,KQJ2,AJ2,9742,Q9
41,6,J8,T,AT9874,AJ75,AK732,863,Q2,T82,QT965,KQJ2,-,K643,4,A9754,KJ653,Q9
42,3,AK94,Q65,83,A872,87632,942,J7,KQ6,T5,KJT83,KQT4,J3,QJ,A7,A9652,T954
43,4,QT76,J4,AKT3,T54,8432,98,9876,AK7,AJ95,AQ32,4,9862,K,KT765,QJ52,QJ3
44,8,A975,K,KQ8,KQ874,Q632,AT53,73,965,JT4,942,AJT94,A3,K8,QJ876,652,JT2
45,4,7652,A854,T972,4,AJ3,JT,KQJ85,T52,KQT,K62,A6,KJ763,984,Q973,43,AQ98
46,11,AKT7,A72,T84,T52,2,QJ954,AJ9,AQJ6,J63,KT,Q653,K984,Q9854,863,K72,73
47,4,642,A65,AQ753,97,75,QJ742,9,QJT84,KJ93,KT8,KJT4,A2,AQT8,93,862,K653
48,1,Q832,-,QJ6,KQ7642,J95,9543,T43,T53,KT4,A76,A872,AJ9,A76,KQJT82,K95,8
49,5,AKQT8,85432,-,AQ4,J964,Q7,T32,KJT5,532,AKT,AKQJ6,97,7,J96,98754,8632
50,4,A93,KQJT943,53,A,KJ654,2,92,J8654,Q72,A8,T864,KT93,T8,765,AKQJ7,Q72
51,7,J96,AT64,Q762,A6,K83,Q83,KT8,K875,AQT42,2,A943,J92,75,KJ975,J5,QT43
52,11,K2,7542,AKT97,K4,AQT5,AQ9,J6,T872,J97,KJT,Q8,AQJ53,8643,863,5432,96
53,6,J6,KQ5432,932,J7,K5,986,AQJ84,A96,98743,7,KT5,QT82,AQT2,AJT,76,K543
54,3,AT875,A752,K,864,93,T9643,975,KQ9,42,KQ8,AT632,732,KQJ6,J,QJ84,AJT5
55,7,T7532,832,Q,AQ97,J,AQT97,JT84,K53,AKQ8,J4,AK532,84,964,K65,976,JT62
56,9,AK73,-,KQJ85,K743,5,AJ832,AT2,Q862,QJ2,654,7643,AJ9,T9864,KQT97,9,T5
57,5,K942,T4,Q53,AT96,JT3,KQ9752,74,84,76,J863,AKT6,KQJ,AQ85,A,J982,7532
58,6,QT3,6,A73,AKT987,K72,Q3,KQT92,J54,9,JT9875,J854,Q2,AJ8654,AK42,6,63
59,7,AQT2,J87653,2,Q8,8765,KT4,J84,AK5,K4,Q9,KQT65,J974,J93,A2,A973,T632
60,8,3,QJ8765,AT965,6,AT4,AT,Q82,AK873,Q872,K93,KJ,QJT5,KJ965,42,743,942
61,0,QJ74,K83,J986,J2,AKT983,J,QT75,98,62,Q742,AK43,AQ6,5,AT965,2,KT7543
62,3,T8653,98,QT9,632,KQ,QJ5,K7542,985,4,K7642,A863,J74,AJ972,AT3,J,AKQT
63,12,AKQ2,AT,8,AK9432,J98,J9853,A4,J76,T743,K7,QJT975,Q,65,Q642,K632,T85
64,8,K832,AKQJ,A6,KT7,T4,8542,JT87,A96,Q,973,KQ932,QJ52,AJ9765,T6,54,843
65,8,Q92,QT43,753,752,KT63,K6,AKQ9,A96,A87,98,JT862,KQ3,J54,AJ752,4,JT84
66,7,Q8763,A73,76,K73,JT,T42,AKQJ53,J5,K95,KQ6,T942,T64,A42,J985,8,AQ982
67,4,T5,643,AKJ8,JT84,Q,KQJT5,T65,Q963,KJ9832,A82,943,7,A764,97,Q72,AK52
68,6,Q632,A,KQ3,KQJ94,J8,T84,A8752,T53,K975,KQJ93,T6,62,AT4,7652,J94,A87
69,7,AK8742,K6,4,K643,T953,84,A865,T85,Q6,AT75,KQJT,Q97,J,QJ932,9732,AJ2
70,3,Q5,J853,K754,862,K87,Q974,9,AT954,T632,K,JT8632,J3,AJ94,AT62,AQ,KQ7
71,9,Q842,QJ6,K943,K3,3,AT94,AJT87,642,K7,8532,65,AJ975,AJT965,K7,Q2,QT8
72,6,542,J6,KJT743,98,KQ,AQ432,Q98,AJ6,A9873,KT75,6,KQ5,JT6,98,A52,T7432
73,7,AK63,AQ,KT7,KQ97,T7,J87543,842,J5,QJ982,T9,Q95,T82,54,K62,AJ63,A643
74,7,42,AJT543,974,83,J3,K72,A85,A9654,AKT975,Q6,Q6,KJ2,Q86,98,KJT32,QT7
75,6,632,84,J743,9532,A98,AKQJT3,K98,6,KQJ,9652,652,KT7,T754,7,AQT,AQJ84
76,5,KQ,QT765,AJ7,AT4,7,K8,Q983,J98632,A83,AJ942,K54,K7,JT96542,3,T62,Q5
77,6,J,KJ97,J942,AJ82,A96,532,KT83,Q63,T7432,A86,75,KT5,KQ85,QT4,AQ6,974
78,5,KQT7,T987,T96,Q9,A92,643,Q84,KT64,J85,AK5,K5,AJ832,643,QJ2,AJ732,75
79,7,543,AK6,KQJ42,94,KJ,T984,T3,AK732,QT9862,QJ7,A,QJ8,A7,532,98765,T65
80,8,Q43,8762,KT,Q982,876,AQ9,AJ532,A7,AKJT92,KJT43,84,-,5,5,Q976,KJT6543
81,8,T8,AJ54,97,KQ943,AKJ742,T32,K2,J2,5,Q87,86543,T875,Q963,K96,AQJT,A6
82,3,J42,KQ53,QJ85,32,K8653,9,964,QJT4,AQ9,J8764,AT,976,T7,AT2,K732,AK85
83,3,T4,83,984,JT8642,J72,KT2,AKQ6,975,KQ863,AQ4,JT3,A3,A95,J9765,752,KQ
84,7,JT3,KQ7,AQ54,932,K65,842,JT98,KJ8,Q942,AJT,K7,Q764,A87,9653,632,AT5
85,4,JT32,AK53,Q,KQ95,9864,862,J54,JT2,KQ,74,K98,A87643,A75,QJT9,AT7632,-
86,10,AQ94,A85,6,AJ643,JT53,KQ742,K97,8,K2,J63,AT432,Q52,876,T9,QJ85,KT97
87,3,A872,Q7,J8752,53,654,T854,AT,QJ82,T93,AKJ963,6,AK9,KQJ,2,KQ943,T764
88,9,4,Q5,QT6,QT96432,AKT5,K4,AKJ8732,-,QJ97,J872,95,K85,8632,AT963,4,AJ7
89,7,AQT74,Q,J52,JT86,KJ,KT96,A873,953,63,AJ72,K94,Q742,9852,8543,QT6,AK
90,8,92,AJ5,AQ,Q97543,AJ5,K74,9865,J82,KQT3,982,KT42,K6,8764,QT63,J73,AT
91,11,AQ985,KQ,AQJ4,A4,432,AJT84,K9,953,T6,9653,72,JT872,KJ7,72,T8653,KQ6
92,8,A962,A94,A,QJ975,Q54,KQ863,T984,8,T7,JT752,K5,AK32,KJ83,-,QJ7632,T64
93,4,QJ6,T975,93,AK98,3,AKJ63,Q85,JT42,T9754,8,A642,Q53,AK82,Q42,KJT7,76
94,9,AQT6,K2,972,KJ32,KJ82,Q97,AT8,A98,43,AJ6,Q543,Q754,975,T8543,KJ6,T6
95,7,J92,T43,KJ986,AQ,A54,98752,Q75,94,QT76,KJ6,A2,KJT3,K83,AQ,T43,87652
96,11,Q98,AKT654,JT6,9,AT7,Q9,AQ954,KJ4,4,873,K73,AQT765,KJ6532,J2,82,832
97,11,JT82,J4,KQ7,9543,AQ,K653,A6,AKQJ8,9654,T982,T93,T6,K73,AQ7,J8542,72
98,8,A542,J84,874,A97,K7,KQ765,AT32,J2,T,32,KQJ65,QT854,QJ9863,AT9,9,K63
99,9,KT87,AQ3,7532,AJ,2,J7,AQJ98,KQ642,AQ65,T85,KT6,983,J943,K9642,4,T75
100,4,K963,T7,9753,972,AJ84,63,JT,AJT64,T52,AKJ94,Q62,K3,Q7,Q852,AK84,Q85
101,6,T3,T8653,97,T765,QJ86,Q2,AKQ653,K,K975,J4,JT,J9843,A42,AK97,842,AQ2
102,5,KJ9752,AQ6,A4,92,864,T743,Q6,K843,AQ,J852,K987,QT5,T3,K9,JT532,AJ76
103,10,A854,T9,J54,KT32,QT9,KJ65,AQ983,A,KJ72,Q87,T62,Q98,63,A432,K7,J7654
104,3,K7,Q62,J75,T8752,JT985,J5,42,AKJ4,AQ432,AKT3,K,Q93,6,9874,AQT9863,6
105,10,642,A875,-,AK9853,AKQJ3,J32,AJ92,T,95,Q64,87643,Q74,T87,KT9,KQT5,J62
106,5,A765,QT4,T5,AK73,Q4,K9752,J63,965,2,AJ86,K742,QJ82,KJT983,3,AQ98,T4
107,8,AQ7,AJ542,KQ9,K6,532,Q7,AJ8652,73,K8,K86,T743,J952,JT964,T93,-,AQT84
108,0,QJ8654,JT7,653,A,T2,532,JT,QJT873,A7,Q984,A4,K6542,K93,AK6,KQ9872,9
109,7,K,A642,A8742,QT3,42,985,QJ3,AKJ85,JT73,KT73,KT,962,AQ9865,QJ,965,74
110,7,T8743,JT8743,97,-,J52,AK962,A,QJ98,A9,-,Q86532,65432,KQ6,Q5,KJT4,AKT7
111,12,AK43,KQ,KQT94,J5,Q65,AJ86,J5,AQ43,T2,T7,A873,KT862,J987,95432,62,97
112,11,AKT9,-,AJT76,A983,Q7,AT9874,Q852,7,J86,53,K43,KQT52,5432,KQJ62,9,J64
113,6,764,KJ64,K987,63,95,Q75,T6,AKQJ92,AQ832,A2,AQJ3,T4,KJT,T983,542,875
114,6,AQJ85,AK74,A7,73,64,QJ32,QJ943,Q5,T92,T865,T85,AJ8,K73,9,K62,KT9642
115,5,QT9,QT52,A853,K7,AK543,J964,QT9,T,J8762,K7,76,AJ86,-,A83,KJ42,Q95432
116,5,KJ9,K76,84,JT432,82,95,KT932,AQ86,QT63,QJ32,QJ5,K9,A754,AT84,A76,75
117,12,KJ9,AQJ65,85,964,A752,-,KJ4,AKQT82,Q43,K972,AT2,J75,T86,T843,Q9763,3
118,4,762,A832,5,AQ954,Q3,754,AKJ972,63,AJ9854,KT9,Q63,T,KT,QJ6,T84,KJ872
119,7,T543,KJ42,J75,87,A2,A9765,T,AKT53,Q96,QT8,A64,QJ64,KJ87,3,KQ9832,92
120,7,T32,QT8,Q982,742,AQJ4,2,AKJ73,Q95,976,KJ753,6,AJ86,K85,A964,T54,KT3
121,4,K852,Q53,532,QJ3,73,KT98,KT98,A52,4,J72,AQJ6,KT984,AQJT96,A64,74,76
122,6,QT,KJ3,Q43,97432,AK2,Q9764,A985,T,J87643,82,72,AQJ,95,AT5,KJT6,K865
123,7,97,AQT72,2,AKT83,6432,9,KQ863,J72,KQT5,K8643,A9,Q4,AJ8,J5,JT754,965
124,3,8,AT863,875,T975,KJ432,QJ54,J92,3,965,K972,A4,AK82,AQT7,-,KQT63,QJ64
125,5,JT975,K9,AK63,94,K,Q6543,JT975,Q6,A83,AT72,42,AJ72,Q642,J8,Q8,KT853
126,8,AKJ,94,AT,T97532,QT94,AQJ7,65,KQ6,8732,53,QJ987,J4,65,KT862,K432,A8
127,5,73,T642,KJ2,T753,AK964,J,A97,Q984,T852,AQ7,Q864,62,QJ,K9853,T53,AKJ
128,3,QJ53,74,KT62,QJ6,T764,AQ3,9853,54,AK,J9865,AQJ4,T3,982,KT2,7,AK9872
129,8,QT72,QT84,632,A7,J,AJ65,KT985,QT9,AK8,972,AQJ7,KJ2,96543,K3,4,86543
130,3,A6,K986432,-,Q643,J852,AJ7,J7632,5,K74,T5,AKQ95,JT8,QT93,Q,T84,AK972
131,8,JT982,8432,AQ,T3,K7,AQJ5,9854,AQ2,A53,KT,K732,9864,Q64,976,JT6,KJ75
132,10,KQ43,KQ42,AKQ96,-,J76,A86,J3,K8642,A92,JT975,752,JT,T85,3,T84,AQ9753
133,4,A6,K3,A976,AQJ64,985,986,KT52,T87,KJ743,JT54,Q84,9,QT2,AQ72,J3,K532
134,6,AK3,KJ73,Q96,T86,Q97642,Q42,7,KQJ,JT5,5,AJT3,A9432,8,AT986,K8542,75
135,9,KJ532,AK7,-,K8732,A86,J62,KQ64,Q95,-,QT84,AJT872,AJ6,QT974,953,953,T4
136,8,63,K7,K9632,KQ74,52,AQT92,AJT5,AJ,J874,8653,4,T652,AKQT9,J4,Q87,983
137,2,T983,AJT3,75,AT6,QJ642,976,Q,8732,K75,852,A842,KQJ,A,KQ4,KJT963,954
138,7,AK73,832,Q97,K87,Q98,JT54,K4,AJ43,J654,AK7,T6,Q962,T2,Q96,AJ8532,T5
139,9,AK973,2,KT5,J653,JT5,A9653,J4,AT9,8642,KQJ7,AQ3,Q4,Q,T84,98762,K872
140,8,K962,QJT52,5,A85,Q754,AK8,KT7,KT4,JT,43,AQJ94,J962,A83,976,8632,Q73
141,4,KQ6,J432,T8,Q876,8742,KT8,A64,T43,T95,Q65,J532,J92,AJ3,A97,KQ97,AK5
142,9,JT3,T83,JT875,A5,Q42,AKQ76,AKQ96,-,AK85,J942,4,T763,976,5,32,KQJ9842
143,3,3,KJ82,A86,KT942,Q62,T97,972,8753,T7,A4,KQJT43,QJ6,AKJ9854,Q653,5,A
144,9,K853,64,J76,JT86,AQ6,KJT,AKQT84,2,T92,83,52,AKQ743,J74,AQ9752,93,95
145,9,K54,632,J54,J543,Q6,AKQJ8,AK,K972,AJT9,975,7632,T8,8732,T4,QT98,AQ6
146,4,95,QJ932,8543,64,A762,74,A762,AK7,KJ84,A,KQJ9,JT32,QT3,KT865,T,Q985
147,10,A763,Q742,AKJ,KT,Q,KJT8,Q972,A876,JT9,9653,54,Q942,K8542,A,T863,J53
148,4,K95,T87643,T84,K,T63,K92,QJ53,A74,874,AQJ,-,QT86532,AQJ2,5,AK9762,J9
149,5,J8642,T9875,5,65,AQ93,J,KQT82,AT9,K5,62,A9643,J732,T7,AKQ43,J7,KQ84
150,7,AQ643,KQ2,63,Q43,K9,AJ53,97,KJ975,75,T984,AKT4,A62,JT82,76,QJ852,T8
151,7,KQ7,JT973,A974,A,J984,4,J6,KQT983,T652,AQ2,QT32,54,A3,K865,K85,J762
152,3,76,JT75,QJ432,J2,AKQ9842,3,AT98,5,J,KQ9,K7,KQT9873,T53,A8642,65,A64
153,5,AJ9864,52,9,AJ96,Q75,98,QJT53,QT2,T2,J643,A86,K843,K3,AKQT7,K742,75
154,9,AQ965,AJ96,96,65,T4,52,AQJT5,AQ43,K7,KT843,K43,T72,J832,Q7,872,KJ98
155,7,Q8652,JT543,T3,A,K7,62,AQJ97,KQ83,JT9,KQ9,K65,T974,A43,A87,842,J652
156,6,Q95,QT75,QT7643,-,JT,A964,-,AKQT984,AK832,KJ3,AK5,65,764,82,J982,J732
157,6,Q64,T43,A9,K9742,K53,J852,7,AQT65,A972,976,KJT83,8,JT8,AKQ,Q6542,J3
158,9,83,KT76,AQ5,KQ95,AQ2,J953,T64,A62,KT9754,Q,972,743,J6,A842,KJ83,JT8
159,6,QT7,T83,KJ92,J73,J65,AK754,QT6,Q8,K943,J96,A8,9642,A82,Q2,7543,AKT5
160,6,KJ8,Q873,2,KT864,T973,-,AJ9643,AJ2,42,JT96,K875,753,AQ65,AK542,QT,Q9
161,8,JT985,AJT82,A5,9,A7,Q543,KQJ64,T3,32,K76,832,KQJ74,KQ64,9,T97,A8652
162,0,872,J72,873,KQ84,Q9654,T8643,K,75,AJ3,AKQ9,QT5,A96,KT,5,AJ9642,JT32
163,3,-,T972,AJT73,8532,K3,KQ83,9654,QT4,J96542,AJ,Q82,KJ,AQT87,654,K,A976
164,0,J,T,QJ9875,K9862,Q73,K98,AT32,543,K964,AQJ74,K4,Q7,AT852,6532,6,AJT
165,11,T83,Q95432,K5,KQ,K54,AK,AQ7,AT865,A6,J876,JT9843,J,QJ972,T,62,97432
166,6,A986,A4,QT,KQ984,T52,KT95,9543,T7,K743,J62,J7,AJ52,QJ,Q873,AK862,63
167,7,K,T43,AJ642,AT87,7652,A2,QT973,Q4,J983,QJ9,K5,K963,AQT4,K8765,8,J52
168,6,QJ643,-,K7643,AK9,AK87,T842,JT5,Q2,T2,K653,82,JT876,95,AQJ97,AQ9,543
169,4,T8752,AT83,964,7,K,Q9,KQ73,KT9652,QJ43,2,AT52,Q843,A96,KJ7654,J8,AJ
170,6,AJ7542,53,KQ97,J,T98,976,A654,KT7,K63,T842,J3,Q862,Q,AKQJ,T82,A9543
171,12,AJT,6,Q4,AKQ9654,752,KQ32,AK965,2,KQ4,T954,JT2,T87,9863,AJ87,873,J3
172,4,7654,JT,K82,KJ94,KJ983,A92,T94,T7,AT,Q54,763,AQ863,Q2,K8763,AQJ5,52
173,9,AKJT976,K9,KQ6,2,53,AJ752,A8,J654,Q82,T8,JT43,AQ98,4,Q643,9752,KT73
174,4,K9865,Q6,Q2,Q875,3,KT873,AJ43,932,AQ42,AJ9,T865,J6,JT7,542,K97,AKT4
175,4,6,KJ97432,52,KQ8,AT98,Q5,Q7,T6542,Q43,T8,AKJT6,J93,KJ752,A6,9843,A7
176,6,AQ764,KT32,J7,86,J832,A4,T83,Q732,T95,J976,KQ94,K9,K,Q85,A652,AJT54
177,8,AQ8,962,T942,J53,J62,KQ,A65,KQT76,KT73,J874,K8,A82,954,AT53,QJ73,94
178,2,K732,983,A97,T75,-,QJT64,Q5,QJ9432,AT64,K72,KT83,K6,QJ985,A5,J642,A8
179,7,A73,832,AQJ965,8,J64,AJ76,3,AT542,982,KT95,K7,QJ76,KQT5,Q4,T842,K93
180,2,85,KJT62,K62,973,KQ6,Q974,QJT93,4,AJT74,A5,7,AQT85,932,83,A854,KJ62
181,11,AQ,KQ543,QJ6,A96,J862,A62,A9,KT72,K43,T98,K543,854,T975,J7,T872,QJ3
182,1,875,73,K9765,432,Q96432,J86,T,A86,KJ,AT9542,43,Q95,AT,KQ,AQJ82,KJT7
183,10,KQT97,Q2,832,AKT,32,J96,AKT95,Q97,8,K87543,74,J642,AJ654,AT,QJ6,853
184,9,KT743,8,53,KQJT4,AJ962,KJ732,AQ8,-,Q5,T964,K62,9653,8,AQ5,JT974,A872
185,5,T95,KT6,AK975,62,Q86,J74,QJ832,J9,A732,A98,T4,KT75,KJ4,Q532,6,AQ843
186,3,54,J95432,KQJ3,2,T72,K6,75,QJT653,K986,AQ8,864,K84,AQJ3,T7,AT92,A97
187,7,-,Q986,A97542,QJ4,KT8,AKT2,T3,A852,AJ95,J53,Q6,KT93,Q76432,74,KJ8,76
188,6,864,K8,K852,AT43,QJ93,A74,3,KQ985,AT7,Q65,T94,J762,K52,JT932,AQJ76,-
189,6,8,AT72,QJ53,KQJ3,J6,Q5,AKT86,9865,AT9542,K963,7,A2,KQ73,J84,942,T74
190,6,KT83,K98,J,AT763,A72,AJ7,643,J984,QJ965,T6432,AT9,-,4,Q5,KQ8752,KQ52
191,4,953,AT5,632,AK97,K42,Q432,54,J832,QJT87,8,AT7,QT54,A6,KJ976,KQJ98,6
192,5,8,QT743,J94,AQ73,K,K98,AT87652,K4,AQJ975,J652,3,JT,T6432,A,KQ,98652
193,10,A8,K642,A987,652,KT6,AJT97,K6,K93,J72,Q83,QT542,A7,Q9543,5,J3,QJT84
194,9,AQT7,Q543,K32,64,J6,K86,A8765,A53,K98543,2,J94,KQJ,2,AJT97,QT,T9872
195,8,6,AJT852,A3,J543,AKT543,4,K976,A6,QJ92,7,QJT8,KQ92,87,KQ963,542,T87
196,9,K64,A874,6,AKQT9,J852,QJT5,K85,J6,Q97,K,AQJT942,52,AT3,9632,73,8743
197,6,75,J532,A97,Q865,QJT3,K,KQ5,KJ972,A962,T9876,J62,4,K84,AQ4,T843,AT3
198,7,K7,T76,AKT98,Q65,T9863,Q9,J7654,A,AQJ2,J853,3,KT32,54,AK42,Q2,J9874
199,10,A863,8764,AK42,4,KJ4,KQJ3,85,AJ95,T9,T92,J93,Q8762,Q752,A5,QT76,KT3
200,4,KJ7,KQ93,AKJ7,64,6,42,T43,J987532,AT2,AT765,Q52,AQ,Q98543,J8,986,KT
201,7,K843,QJ9874,J5,A,J7,A6,K943,KJT42,AQT6,T2,AQ6,Q863,952,K53,T872,975
202,2,4,T642,Q43,QJ863,KQT987,98,982,KT,632,AKQ53,A65,75,AJ5,J7,KJT7,A942
203,8,AT65,K64,A52,T62,Q98,QJ2,JT83,AJ9,432,73,K4,KQ8543,KJ7,AT985,Q976,7
204,6,QJ9653,AQ84,3,K9,T,K92,QT8764,JT7,A742,JT7,K9,8642,K8,653,AJ52,AQ53
205,10,KQ94,QT862,A3,KQ,AJ,AJ953,T852,T3,87653,74,Q94,962,T2,K,KJ76,AJ8754
206,6,AT8762,Q4,94,AJ3,KQ953,6,KQJ2,KQ2,-,KJT832,875,9876,J4,A975,AT63,T54
207,7,QJ9,J9743,AQ95,3,K3,KQ,J87632,K92,T876,T85,K4,Q765,A542,A62,T,AJT84
208,3,T82,KQ8,T83,KJT7,Q7654,T94,954,53,-,652,AKJ7,Q98642,AKJ93,AJ73,Q62,A
209,6,AT4,AQT4,Q,T9875,Q5,KJ73,JT953,K6,J8763,5,K842,A42,K92,9862,A76,QJ3
210,2,983,QT9875,T3,K4,QT542,2,KJ865,T9,J76,K643,97,QJ87,AK,AJ,AQ42,A6532
211,7,AQJ82,4,852,QJ84,93,JT9863,AJ6,A3,KT65,2,K74,KT762,74,AKQ75,QT93,95
212,10,AKQ63,J94,KQ,K87,T,AT6,T62,QJT953,J742,73,98753,42,985,KQ852,AJ4,A6
213,3,AKQJ8643,T4,-,KT9,T5,Q5,QJ52,AQ432,7,K962,AK84,J765,92,AJ873,T9763,8
214,7,J42,AJ743,Q86,93,K75,T82,AKJ94,A5,AQ963,5,T5,KJT86,T8,KQ96,732,Q742
215,5,T,AKQT,K6,AKT754,742,852,QJ95,J62,96,9764,A832,983,AKQJ853,J3,T74,Q
216,7,Q65,K876,Q542,86,AJ73,5,AT863,AKJ,42,AJT943,-,Q7532,KT98,Q2,KJ97,T94
217,7,Q8,A953,AK7,QJT9,643,T87,3,AK8762,52,J64,QT942,543,AKJT97,KQ2,J865,-
218,10,73,Q7,AQ9732,A64,AQT9842,K82,T,J8,5,T9,J54,KQT9753,KJ6,AJ6543,K86,2
219,4,KJ975,AJ53,7,642,-,KT764,532,JT983,A842,-,AQT84,AKQ7,QT63,Q982,KJ96,5
220,5,98,J8,KQ43,AJ842,KQT4,43,752,KQT7,J652,AKT652,AJT,-,A73,Q97,986,9653
221,5,AQT42,T6,QJ8,K95,83,A5,KT542,JT87,J6,J9432,A763,42,K975,KQ87,9,AQ63
222,8,QJ5,875,KJ2,J964,AK2,AK942,9,AK85,973,63,A7543,QT3,T864,QJT,QT86,72
223,5,J2,QT983,63,KJ82,QT74,AK754,2,AT4,AK93,-,KQJT75,Q63,865,J62,A984,975
224,4,J765,K754,2,AKT5,94,J86,KQ854,764,KT3,T92,AJT973,2,AQ82,AQ3,6,QJ983
225,8,KJ,982,AJ8762,QT,T762,AK6,K,K7643,AQ54,T53,T95,A85,983,QJ74,Q43,J92
226,6,AKT3,QJ942,T8,AQ,Q9842,K8,Q,KJ983,5,AT53,9754,T654,J76,76,AKJ632,72
227,8,AKQJT6,873,82,Q7,9532,AJ2,AJ3,T32,87,KQT54,4,J8654,4,96,KQT9765,AK9
