Index,trx,ns,nh,nd,nc,ss,sh,sd,sc,es,eh,ed,ec,ws,wh,wd,wc
49,2,AT32,J5,QT76,964,987,KT9832,93,J3,Q6,A64,A854,Q875,KJ54,Q7,KJ2,AKT2
50,8,AKQJ9,A762,93,53,752,JT5,J642,KQ2,86,Q983,AK875,T6,T43,K4,QT,AJ9874
51,4,J872,KJ74,KQ8,98,A,862,JT743,K732,Q63,Q953,A65,AQJ,KT954,AT,92,T654
52,12,53,A98,AKQJ2,T96,AJ62,QT6,T3,AKQ8,K87,K432,864,J75,QT94,J75,975,432
53,5,K63,AJ8,Q74,KT95,QJT82,T974,J9,63,A95,6,AKT653,A42,74,KQ532,82,QJ87
54,8,K3,A97,K832,KQ73,Q652,K54,JT5,J94,A98,QJT,Q976,A65,JT74,8632,A4,T82
55,5,KJ85,AJ63,72,J86,AT7642,KQ8,K,KT4,9,7,QJT9865,A975,Q3,T9542,A43,Q32
56,11,Q8764,AQ4,K832,K,A9,K652,A65,QJ97,T,T9873,QJ74,AT6,KJ532,J,T9,85432
57,3,AT86,K3,JT95,962,754,9875,82,A873,J9,AQT,KQ7643,T5,KQ32,J642,A,KQJ4
58,1,Q873,Q5,T64,9753,T62,9,A9872,JT62,AKJ9,KJT74,K3,84,54,A8632,QJ5,AKQ
59,6,6532,KQ,Q963,KT7,AQ974,AT52,A754,-,KJT,J864,T,QJ942,8,973,KJ82,A8653
60,4,432,AJ865,T2,T87,KT8,-,954,AK96432,Q9765,9432,Q863,-,AJ,KQT7,AKJ7,QJ5
61,6,753,AKQJ,952,A73,9842,T542,J63,KT,QJT6,98,87,QJ854,AK,763,AKQT4,962
62,1,Q98543,Q872,K6,7,JT7,K643,T3,K654,AK6,J9,A82,AT832,2,AT5,QJ9754,QJ9
63,5,93,K97,Q96,AJ543,T62,QT54,A7,9872,KQ5,832,KJT84,T6,AJ874,AJ6,532,KQ
64,5,T,AQ,QJT643,QT76,AQ9852,8,975,932,63,KJT42,K2,K854,KJ74,97653,A8,AJ
65,8,Q962,K6,KJ963,AQ,AJ4,QT,T42,JT542,873,A843,Q87,763,KT5,J9752,A5,K98
66,7,AKQT9,T874,Q5,AJ,85,K6,KT9642,982,J62,QJ52,J87,653,743,A93,A3,KQT74
67,12,AKQT,QJ,AK8,QJ85,52,KT3,QJT764,AT,-,87652,93,976432,J987643,A94,52,K
68,5,43,AQJT3,K6,AQJ6,J9862,742,J32,98,A7,95,AQ984,7542,KQT5,K86,T75,KT3
69,4,KT873,AT64,T6,K3,QJ52,3,KJ542,T87,6,KJ92,Q987,J965,A94,Q875,A3,AQ42
70,6,AKT2,K9,Q4,KQJ64,J863,642,AK62,T5,975,83,J985,9872,Q4,AQJT75,T73,A3
71,7,Q987,KJ4,AT63,K3,K,AT63,Q9854,Q65,A532,Q9872,J7,J8,JT64,5,K2,AT9742
72,4,JT6,T72,A86,QJ72,A4,964,QJ5432,65,Q987532,J3,K7,T4,K,AKQ85,T9,AK983
73,5,7532,K73,J7,9752,KJT,A5,T632,AKT3,6,QT86,A984,Q864,AQ984,J942,KQ5,J
74,1,KQT4,T2,K9,T9532,853,K765,T7,KJ84,AJ72,84,J653,AQ7,96,AQJ93,AQ842,6
75,12,A5,AT2,AK9764,KT,Q87,864,QJ8,AQ64,KJ6432,KQJ7,2,J9,T9,953,T53,87532
76,3,83,AQT8,Q543,652,QT765,976,982,A7,AK4,K532,JT,K943,J92,J4,AK76,QJT8
77,3,J53,Q9,9754,AKJ6,T87,86432,T632,Q,A62,AKJ,AJ8,T754,KQ94,T75,KQ,9832
78,8,Q83,53,AKQ752,J8,K,T9642,T,AKT952,AT97542,AK87,J8,-,J6,QJ,9643,Q7643
79,9,AKQT92,72,9,AQ43,J,J865,AJ54,KJ65,73,AQT3,QT87,982,8654,K94,K632,T7
80,9,KQ53,7543,K53,84,J86,A,QJT42,AKJ7,9,KQJT986,86,Q32,AT742,2,A97,T965
81,3,82,Q72,A84,JT965,T76,K8,K9752,873,AKQ53,T96,QJ,A42,J94,AJ543,T63,KQ
82,5,JT,AKT,A4,QJT543,8,Q973,KQ7653,K6,K94,J542,J82,972,AQ76532,86,T9,A8
83,7,QJ,Q942,KJ74,KQ7,T85,73,A,AT85432,AK7632,KJ6,T952,-,94,AT85,Q863,J96
84,4,J63,KJ4,Q76432,3,K8,Q987,T5,K9642,T754,A652,-,QT875,AQ92,T3,AKJ98,AJ
85,9,J432,J5,AJ643,AT,AQ,KQT9864,K,752,K96,A2,T972,KJ83,T875,73,Q85,Q964
86,4,A872,KJ6,52,AJ97,J6543,82,J98,Q53,9,QT7,AQ43,K8642,KQT,A9543,KT76,T
87,6,AKQ92,74,J3,AKJ9,J873,865,K85,854,T,KJ932,AQT942,6,654,AQT,76,QT732
88,4,42,AJ63,87632,KJ,AT7,Q5,J5,QT7632,985,K9874,AK9,85,KQJ63,T2,QT4,A94
89,3,98763,KQ765,-,K83,KQJ5,J93,52,AJ72,T42,82,AKQT9643,-,A,AT4,J87,QT9654
90,5,AK92,T96,8,A9853,J84,J7432,A9,QT6,T653,85,KT64,KJ7,Q7,AKQ,QJ7532,42
91,3,6,9,KJT87,KT8652,Q984,6,Q653,AQ93,T752,Q875432,2,7,AKJ3,AKJT,A94,J4
92,4,T7,KQT6,K93,AQT5,8532,J954,J62,93,AK,72,QT874,8742,QJ964,A83,A5,KJ6
93,5,KQ83,Q63,JT98,J8,95,AJT72,Q5,T543,AJ74,K954,742,K9,T62,8,AK63,AQ762
94,7,KJ52,9863,86,AK5,Q83,K7,K42,QT976,T7,QT5,QT753,843,A964,AJ42,AJ9,J2
95,9,AQJ975,5,8652,J3,KT4,AKQT97,73,A7,8,J6432,KJT9,K95,632,8,AQ4,QT8642
96,11,AKQ4,3,KQ632,AJ8,6,AJT8,J98,Q9754,JT9752,K762,4,KT,83,Q954,AT75,632
97,2,QJ6,T842,T7,J532,K42,73,Q9832,QT6,AT983,AKJ96,AK4,-,75,Q5,J65,AK9874
98,6,JT5,AK2,QJ6,KT42,Q7643,QJT,5,QJ75,K2,654,AT982,A96,A98,9873,K743,83
99,5,64,AK973,5,A8742,T52,2,JT864,QJ93,KQJ73,Q864,KQ2,K,A98,JT5,A973,T65
100,4,QT9,A853,KQ,JT96,AKJ,62,J9742,542,8743,KQJ974,A3,7,652,T,T865,AKQ83
101,8,T74,Q87,KT765,J2,J832,AKJ65,Q,AK8,6,T93,AJ83,Q9764,AKQ95,42,942,T53
102,6,T863,QJ,87,K6543,AK7,AKT97,T5,987,Q42,854,AK43,QT2,J95,632,QJ962,AJ
103,9,-,JT83,AK65,JT754,AKQJ84,92,97,KQ3,762,AQ65,JT32,A6,T953,K74,Q84,982
104,2,T62,943,QJT4,983,97,A62,A763,KJ74,A4,JT875,K82,A52,KQJ853,KQ,95,QT6
105,10,KQ6,K9,AK63,A743,AJT53,QT8,854,82,874,A54,Q972,KJ5,92,J7632,JT,QT96
106,3,86532,T53,K52,Q7,Q974,Q9,T973,A65,AKT,762,A,KJT942,J,AKJ84,QJ864,83
107,6,T73,K87542,T,543,4,3,KQ975,AKQ987,AK62,AJ,AJ642,T6,QJ985,QT96,83,J2
108,12,A54,65,Q97,JT952,KJ9732,K9,AT,AK6,Q86,874,K654,843,T,AQJT32,J832,Q7
109,11,Q4,7,QJ,AKQ97653,A873,A3,AT854,J8,J952,KJ92,K72,T2,KT6,QT8654,963,4
110,8,3,AKQ9843,Q73,K9,K98642,T75,KT8,5,AQJ5,J2,J94,AJ87,T7,6,A652,QT6432
111,7,984,T8,K74,KT972,A6,Q932,Q85,AQJ6,QJ32,J754,AT93,8,KT75,AK6,J62,543
112,7,Q7432,85,J983,63,AK98,AKQJ7,6,QJ7,T,T932,Q742,T542,J65,64,AKT5,AK98
113,2,865,T3,AQT93,643,QJ,AQ976,K752,T9,AK4,K54,J,KQJ875,T9732,J82,864,A2
114,2,74,AQ983,K,AQJ86,932,J74,643,K542,T6,T65,QT972,T93,AKQJ85,K2,AJ85,7
115,6,AJ8,KT9862,8,KQ6,973,4,AQJ97,8732,KQ52,J73,K62,A94,T64,AQ5,T543,JT5
116,5,T2,K854,T86,AK96,Q6,A92,KJ7532,43,K983,QT3,AQ,T752,AJ754,J76,94,QJ8
117,6,7653,AK8,9,K7532,QJT9,652,754,AQT,K4,QJT3,AKJ83,J4,A82,974,QT62,986
118,5,QJ872,T9,K94,K95,63,K76532,AT,764,95,QJ,87653,AJ32,AKT4,A84,QJ2,QT8
119,9,T862,K74,QJ974,A,KJ95,AJ2,KT3,QJ4,7,Q953,A8,KT8532,AQ43,T86,652,976
120,9,AKJ,J8432,KQ8,KJ,Q64,K7,AT9,QT983,32,95,J7652,A754,T9875,AQT6,43,62
121,4,T75,Q86,943,8732,K6,K52,JT876,AJ4,8432,AT74,AKQ2,T,AQJ9,J93,5,KQ965
122,5,Q97,A54,JT2,AQT9,KT5,98,K54,86543,64,KQJT72,A987,2,AJ832,63,Q63,KJ7
123,4,83,AKJT864,K962,-,K765,Q2,AJ743,T2,AJ2,73,T5,KJ7654,QT94,95,Q8,AQ983
124,2,QT98,J762,J963,6,J32,54,K4,A98532,K65,KT983,A75,K7,A74,AQ,QT82,QJT4
125,7,KJT542,A,AQ3,874,Q97,QJ632,K85,Q3,A8,74,J9764,KJ52,63,KT985,T2,AT96
126,6,AT975,J9843,2,Q5,K6,K62,AKQ9763,3,J4,QT75,J54,J876,Q832,A,T8,AKT942
127,4,QJT95,A3,AJT85,J,2,T762,KQ9763,94,7,J854,4,AQ87632,AK8643,KQ9,2,KT5
128,10,AK,Q654,QJ72,A72,QJT86,K7,AT5,643,9753,AJT8,-,JT985,42,932,K98643,KQ
129,9,AT954,5,K98,KQ74,KJ,QJT73,A72,852,86,AK8642,QJ,AT3,Q732,9,T6543,J96
130,7,Q9,Q75,QT64,AK84,AJT42,A92,3,J952,K85,K64,K852,QT3,763,JT83,AJ97,76
131,6,AQ65,K73,J82,KQ2,JT84,AT96,Q,T643,9,QJ84,A654,J875,K732,52,KT973,A9
132,5,7,T98,AT92,K6532,T8,KQJ32,J853,QT,QJ942,A765,Q74,9,AK653,4,K6,AJ874
133,3,QT543,Q7,9,K8432,9,65,AKQ8764,QT6,K82,T9843,T32,A9,AJ76,AKJ2,J5,J75
134,6,983,AK62,KQ6,JT6,K7,J9754,AT43,Q9,AJT52,Q83,952,85,Q64,T,J87,AK7432
135,9,A2,T62,AQ976,K96,KT975,A8,J54,JT8,J8643,J9,K83,A75,Q,KQ7543,T2,Q432
136,12,A93,A982,873,AK5,K5,53,AKJT42,QT3,JT72,J4,65,98762,Q864,KQT76,Q9,J4
137,1,Q76,432,AT54,J72,KJ52,976,J83,T54,T98,AKJT5,K97,Q9,A43,Q8,Q62,AK863
138,2,QJ953,Q983,2,754,2,AJT42,T654,KQ9,74,K,AKQ9873,AT6,AKT86,765,J,J832
139,6,AJ,K64,T654,J975,6,AQ53,82,AKT432,985,9872,AJ7,Q86,KQT7432,JT,KQ93,-
140,1,87652,842,QT,T73,43,JT95,92,K8654,QJ9,A763,AK85,QJ,AKT,KQ,J7643,A92
141,4,863,KJ53,972,T74,K74,A7,KT53,J965,AJT2,QT82,J,AK83,Q95,964,AQ864,Q2
142,6,K9,AQT,AJT87,J92,JT763,932,K3,T63,85,KJ84,Q942,AQ7,AQ42,765,65,K854
143,5,J986432,76,T94,2,A7,AQ9,AK8,J8653,Q5,KJT3,Q65,AKQ9,KT,8542,J732,T74
144,10,AKQT83,6,987,T86,J6542,AQT5,A4,A4,7,J8742,J62,KQ52,9,K93,KQT53,J973
145,5,932,J7543,KT82,9,K54,Q62,A,QJ8653,QJ76,T8,QJ54,K72,AT8,AK9,9763,AT4
146,4,KJ983,75,QJ63,64,A,QT63,A9852,J87,Q754,A98,KT7,T32,T62,KJ42,4,AKQ95
147,5,QJ94,J7,QJ764,A9,K85,Q,K832,KJT62,T7,AK8432,9,Q875,A632,T965,AT5,43
148,7,4,A52,T742,KJ953,QJ98,QJ9,KJ98,Q7,AK762,T864,A3,86,T53,K73,Q65,AT42
149,9,KQ9,K7,AK873,AQ8,AJ64,86432,T,643,T85,AQJ,J65,KT92,732,T95,Q942,J75
150,2,T93,9875,JT,QT83,87,KQ64,9753,J72,J642,AJ2,K42,A96,AKQ5,T3,AQ86,K54
151,6,KQ2,Q4,KJT94,642,T983,AJ5,Q752,A9,AJ6,T9763,863,KT,754,K82,A,QJ8753
152,6,5,AJ76,Q752,KJ94,98732,T9,J,A8763,J6,432,AKT864,T2,AKQT4,KQ85,93,Q5
153,12,AJ9,AQJT82,8,A65,KT74,6,AK43,J982,Q53,K974,QJT76,Q,862,53,952,KT743
154,5,AT98732,9,QT74,K,5,-,AKJ653,T97643,Q6,QJ5432,9,A852,KJ4,AKT876,82,QJ
155,11,K3,J9,KT9876,AQT,A6,A8765,A3,J872,QJT98752,Q,2,K64,4,KT432,QJ54,953
156,6,K4,AK92,QT5,KJ84,Q76,Q754,A9764,9,AJT985,-,K82,Q653,32,JT863,J3,AT72
157,2,Q87,Q76,9,QT7432,J652,A9,J7642,86,A,T4,KQT853,AJ95,KT943,KJ8532,A,K
158,9,AQJT85,A43,J43,7,K643,8,T2,AKJ943,-,KQJ9765,KQ76,65,972,T2,A985,QT82
159,0,K54,T753,-,QJ8543,762,962,43,K9762,Q3,KQ4,KT9852,AT,AJT98,AJ8,AQJ76,-
160,8,AK6,AJT2,4,AJ532,JT3,43,T82,K8764,872,KQ97,KQJ3,Q9,Q954,865,A9765,T
161,2,AQ65,JT3,QJT7,A2,J9873,87,652,JT9,T4,K2,AK9843,K85,K2,AQ9654,-,Q7643
162,8,Q3,AT,A986,AT842,AJ6,Q73,QJ2,Q753,KT754,K8652,K54,-,982,J94,T73,KJ96
163,7,K932,A764,QT,Q84,J875,K8,KJ62,763,Q,QJT532,984,JT2,AT64,9,A753,AK95
164,5,8,QT8764,T76,AJ8,AQJT764,J,A8,543,32,AK952,KQ532,K,K95,3,J94,QT9762
165,6,QJ6,43,76542,AT8,A93,KT5,T83,KQJ7,K854,Q962,AQ,653,T72,AJ87,KJ9,942
166,5,QJT,Q9542,A642,2,987,763,KJT9,AJ9,K4,T8,85,KQT7643,A6532,AKJ,Q73,85
167,5,J2,AQJ74,87652,8,KT765,85,QT3,AK4,A843,T62,K,QJ653,Q9,K93,AJ94,T972
168,7,6,AKQ865,2,K8632,K95,JT93,QT983,Q,QJ3,7,AJ765,J754,AT8742,42,K4,AT9
169,4,QJ943,T3,K,K8543,A8652,A85,87,T72,7,9764,A6543,AQ9,KT,KQJ2,QJT92,J6
170,3,K764,T,652,QJ974,AT982,Q4,KJ,T862,Q53,A62,AT743,A5,J,KJ98753,Q98,K3
171,2,KQJ7642,T,963,92,T85,J93,AKJ75,Q5,A3,A7652,QT,AK83,9,KQ84,842,JT764
172,3,QJ964,Q5,T96,872,A2,JT8432,42,A93,T83,K,AKJ87,QJ54,K75,A976,Q53,KT6
173,8,AQ9843,762,85,T9,KJ,J93,AJ,AQJ862,76,AKT54,K92,743,T52,Q8,QT7643,K5
174,5,K5,A975,K76,QJ76,J872,Q63,J953,92,A93,J84,QT84,A85,QT64,KT2,A2,KT43
175,3,-,T9842,J73,K7543,KQ872,A63,T542,8,J5,J75,KQ86,QJT9,AT9643,KQ,A9,A62
176,5,86,Q43,A7642,T95,J7543,92,Q93,AKQ,92,AK875,J8,8432,AKQT,JT6,KT5,J76
177,2,J94,AT4,K42,A952,KT765,-,JT98,T863,AQ83,985,AQ5,K74,2,KQJ7632,763,QJ
178,7,Q43,J82,KT5,KT97,KT9,QT973,Q86,AQ,J8,AK5,J9432,542,A7652,64,A7,J863
179,5,KQ42,-,A874,AK743,T653,J62,K93,QJ6,A,KQT9753,QJ6,52,J987,A84,T52,T98
180,9,A4,A9543,T7,KJ92,QJ863,7,KJ8,AT87,KT52,-,AQ96543,65,97,KQJT862,2,Q43
181,6,T3,KQ2,AJ82,JT86,KJ942,J97,4,KQ52,Q876,T865,Q97,A7,A5,A43,KT653,943
182,2,J32,JT6,QJT93,J3,Q7654,K874,6,QT8,A8,AQ9532,AK7,A7,KT9,-,8542,K96542
183,4,A743,QJ65,93,A54,K52,K874,65,T832,JT,32,AKT842,KQ7,Q986,AT9,QJ7,J96
184,5,J875,T8,A9873,92,K96,J97,JT42,KQJ,T432,AK4,Q,AT765,AQ,Q6532,K65,843
185,3,K63,4,J986,AKT92,J84,62,KT742,764,T92,KJT5,A5,QJ83,AQ75,AQ9873,Q3,5
186,2,KT8,Q952,QJ73,43,963,T87643,9,J62,QJ54,AK,AKT,AK75,A72,J,86542,QT98
187,2,-,76532,QT87,J863,KQT83,94,A9432,5,542,AQJ8,5,KQT94,AJ976,KT,KJ6,A72
188,4,AJ852,A942,Q9,JT,K9,J8,75,KQ76532,T4,75,AKJT863,A9,Q763,KQT63,42,84
189,9,KQ63,9743,AT5,AK,AJ852,KQ865,96,T,974,JT,J832,J852,T,A2,KQ74,Q97643
190,7,T85,AT5,AK84,JT2,AQ963,K764,Q75,8,74,Q3,J63,AKQ974,KJ2,J982,T92,653
191,8,K873,T54,T76,QJ2,AQJT,QJ,KQJ83,K7,96542,A986,4,AT9,-,K732,A952,86543
192,6,94,AQ74,QT874,J2,A8,T32,KJ32,K763,QJT532,K8,A6,Q94,K76,J965,95,AT85
193,4,QJ92,J3,AT52,AJ4,T7,Q,98,KQT98765,A8643,AK6,KQJ73,-,K5,T987542,64,32
194,8,A54,2,KQ62,AT754,QJ,JT54,8753,QJ9,T876,K3,AJ9,8632,K932,AQ9876,T4,K
195,8,432,AQ3,AKQ74,85,76,J84,63,KJT743,KQ95,KT,JT982,96,AJT8,97652,5,AQ2
196,5,J5,K85,KT753,AQ3,Q986,A94,J984,95,K32,JT7632,A6,72,AT74,Q,Q2,KJT864
197,5,643,K8,AK4,96542,K87,QJT94,876,Q7,JT952,2,QJ932,A8,AQ,A7653,T5,KJT3
198,5,T92,KT42,T873,A3,853,AQ953,J2,984,J4,J76,KQ96,Q765,AKQ76,8,A54,KJT2
199,7,QT73,T3,KT8,KQT7,K952,Q764,Q3,A94,864,K9852,A74,J8,AJ,AJ,J9652,6532
200,2,K87,T962,KJT74,6,963,83,9632,KJT5,AJ52,KQJ754,-,972,QT4,A,AQ85,AQ843
201,5,T87,J842,864,AK2,64,Q765,AQJ7,T86,KQ9532,AT3,952,4,AJ,K9,KT3,QJ9753
202,4,T52,A5,K975,7642,J,J62,QJ842,A985,AK64,KQ98,AT63,3,Q9873,T743,-,KQJT
203,1,AQJT42,8,J7,J975,K53,Q932,94,KQT4,7,KT764,AQ2,A832,986,AJ5,KT8653,6
204,2,Q876,94,KJ954,97,9542,75,AT8,JT86,KJ,JT862,762,K42,AT3,AKQ3,Q3,AQ53
205,6,JT92,A53,JT2,A83,K7,KT92,764,QT42,AQ8643,Q4,Q85,J6,5,J876,AK93,K975
206,5,AJ3,KQ2,T64,JT75,KQT62,T54,J5,862,875,J986,A873,94,94,A73,KQ92,AKQ3
207,4,AJ,Q9732,K73,T92,T9652,AKJ,JT54,7,K874,T864,6,KQ84,Q3,5,AQ982,AJ653
208,3,532,KT,Q9,AQ8732,AT96,753,83,KJT9,KJ84,QJ42,AKJ,65,Q7,A986,T76542,4
209,13,QJT7,KQ76,9,AJ32,AK6,AJ943,A75,K4,93,T85,K63,QT975,8542,2,QJT842,86
210,5,9862,K2,JT42,K83,73,T85,A7,AQJ754,AJ4,J943,9853,62,KQT5,AQ76,KQ6,T9
211,7,KJ6,875,AT9,AQ54,AQ875,J64,5,8732,T432,KQ92,J742,T,9,AT3,KQ863,KJ96
212,8,A5,AK7652,QJ74,K,J983,J3,T6,A8732,7642,94,A532,T94,KQT,QT8,K98,QJ65
213,0,J64,J8,T7643,T53,AKT75,75432,9,42,Q92,K96,AJ852,AQ,83,AQT,KQ,KJ9876
214,4,765,QT6,AQT4,Q73,AJT9,J43,97532,2,42,K85,K86,AT986,KQ83,A972,J,KJ54
215,5,AQT842,Q7,AJ,K63,J653,T54,Q73,Q95,K7,K83,K64,AT872,9,AJ962,T9852,J4
216,2,Q42,J72,KJT754,K,K98,6543,A8,7543,76,AKQT9,9,J9862,AJT53,8,Q632,AQT
217,7,9763,QT,A8,QT765,QJ,A9873,K54,K82,KT42,652,972,AJ9,A85,KJ4,QJT63,43
218,4,KQ642,K87,Q7,K87,A985,Q2,986543,T,JT7,96,AKJ,J6542,3,AJT543,T2,AQ93
219,7,A942,AQ8,A5,9832,KT75,J42,J83,KJ4,QJ863,953,Q962,7,-,KT76,KT74,AQT65
220,5,82,J9642,AJ942,4,KJ5,AT3,Q87,7632,T94,K87,T3,KQT85,AQ763,Q5,K65,AJ9
221,8,932,AKJ65,952,A6,AQ8,QT843,AT4,73,KJ765,9,J7,QJT95,T4,72,KQ863,K842
222,0,Q953,3,98763,932,7,QT5,QT,QJT8764,KJ642,AK87,K5,AK,AT8,J9642,AJ42,5
223,5,984,AKT62,AJ9,62,QT653,94,T632,KJ,K2,Q5,Q754,AT875,AJ7,J873,K8,Q943
224,5,K9,953,JT,K76543,T53,QJ8,765,AJ98,AJ8742,T62,843,2,Q6,AK74,AKQ92,QT
225,9,T86,AJ84,J86,Q52,AJ97,KQ,K942,A64,Q542,T6532,75,KJ,K3,97,AQT3,T9873
226,6,93,T9854,T,T7532,AQJT7,AJ,AQ632,8,K42,K72,975,KJ94,865,Q63,KJ84,AQ6
227,10,AJT65,QJ,832,QJT,KQ98,KT54,KQ6,A2,74,632,JT4,K8763,32,A987,A975,954
228,8,95,T7,AKJT96,972,J2,AQJ943,73,AJ3,T8643,852,42,K64,AKQ7,K6,Q85,QT85
